date,"FinBERT_Score (-1, 1)",Article_Count
2022-10-15,0.029493410927309116,71
2022-10-16,0.06787990367758953,57
2022-10-17,0.05094315282268716,140
2022-10-18,0.05779352301972047,155
2022-10-19,0.09395500991743903,119
2022-10-20,-0.291474325478046,241
2022-10-21,-0.3453364364898926,252
2022-10-22,-0.3102207439072016,90
2022-10-23,-0.29109550250383714,60
2022-10-24,-0.1409595952822994,117
2022-10-25,-0.39891844014538097,235
2022-10-26,-0.25653367391169013,256
2022-10-27,-0.11022046292960948,147
2022-10-28,-0.043562163399834916,117
2022-10-29,0.04008572648608071,68
2022-10-30,0.07520771506881598,51
2022-10-31,0.06213870332224892,106
2022-11-01,-0.006614662585780025,150
2022-11-02,0.054953805386952784,166
2022-11-03,0.07411033009740119,156
2022-11-04,0.057283213331728526,92
2022-11-05,0.007700542112948691,41
2022-11-06,-0.03065293173616131,36
2022-11-07,-0.03473356951028109,75
2022-11-08,0.14034487038850785,100
2022-11-09,0.1473843634994042,99
2022-11-10,0.044034499839386516,102
2022-11-11,-0.03194037678961952,30
2022-11-12,0.053471297307899505,33
2022-11-13,0.029391373668251366,29
2022-11-14,0.014886924414895475,284
2022-11-15,0.0631948846539737,278
2022-11-16,0.04092260557399304,135
2022-11-17,0.04639854635590584,144
2022-11-18,0.04131027092343243,119
2022-11-19,-0.10225263683657561,56
2022-11-20,0.08227171499747783,40
2022-11-21,-0.010157908453553353,106
2022-11-22,-0.22281273229420184,125
2022-11-23,-0.2919418024333212,103
2022-11-24,0.004440008502413509,93
2022-11-25,0.01574739232030395,77
2022-11-26,-0.04446950658201808,82
2022-11-27,-0.11342446003109216,40
2022-11-28,-0.06220716662882339,105
2022-11-29,-0.15458028436830593,126
2022-11-30,-0.04849518003777183,145
2022-12-01,-0.005305304906606299,159
2022-12-02,-0.015688352775759994,140
2022-12-03,-0.031049945334304278,73
2022-12-04,-0.07917248603577415,45
2022-12-05,0.06835610967999721,122
2022-12-06,0.05868246891456687,153
2022-12-07,0.028743845096676414,264
2022-12-08,-0.04020476533924459,305
2022-12-09,0.018068183813049317,153
2022-12-10,-0.054077684676322416,78
2022-12-11,-0.06867023719808994,39
2022-12-12,-0.0536447272352234,128
2022-12-13,-0.059927939197548956,134
2022-12-14,0.060701384350364464,89
